movies_title,release_year,imdb_rating,age_rating,stream_provider,runtime,genre_list,movie_prod_country,movie_url
Garudan,2024,7.8,UA,"Amazon Video,Bookmyshow,Apple TV+,Amazon Prime Video",2h 13min,"Mystery & Thriller, Crime, Drama, Horror",India,https://www.justwatch.com/in/movie/garudan-2024
Maharshi,2019,9.0,UA,"Hotstar,Amazon Video,Apple TV+,Amazon Prime Video",2h 56min,"Comedy, Drama",India,https://www.justwatch.com/in/movie/maharshi
Kingdom of the Planet of the Apes,2024,9.1,Age rating not found,"Apple TV,Apple TV+",2h 25min,"Drama, Kids & Family, Comedy",United States,https://www.justwatch.com/in/movie/kingdom-of-the-planet-of-the-apes
Srikanth,2024,7.8,U,"Apple TV+,Bookmyshow,Netflix",2h 14min,"Drama, Crime, Mystery & Thriller",India,https://www.justwatch.com/in/movie/sri-2023
Inside Out,2015,7.8,U,"Crunchyroll,Hotstar,Apple TV",1h 35min,Reality TV,United States,https://www.justwatch.com/in/movie/inside-out
Civil War,2024,7.1,Age rating not found,"Apple TV+,Amazon Prime Video",1h 49min,"Comedy, Crime, Drama, Mystery & Thriller","United Kingdom, United States",https://www.justwatch.com/in/movie/civil-war-2024-0
Harom Hara,2024,7.1,A,"aha,Jio Cinema,Apple TV+,Amazon Prime Video",2h 34min,"Science-Fiction, Action & Adventure, Drama",India,https://www.justwatch.com/in/movie/harom-hara
Godzilla x Kong: The New Empire,2024,7.1,UA,"Amazon Video,Apple TV,Apple TV+",1h 55min,"Drama, Comedy, Fantasy","United States, Australia",https://www.justwatch.com/in/movie/godzilla-x-kong-the-new-empire
Deadpool & Wolverine,2024,9.1,A,"Bookmyshow,Apple TV+",2h 8min,"Horror, Animation, Action & Adventure, Drama, Fantasy, Science-Fiction",United States,https://www.justwatch.com/in/movie/deadpool-3
Manjummel Boys,2024,9.5,UA,"Hotstar,Apple TV+",2h 15min,"Drama, Crime, Mystery & Thriller",India,https://www.justwatch.com/in/movie/manjummel-boys
Kung Fu Panda 4,2024,8.2,U,"Crunchyroll,Zee5,Bookmyshow,Amazon Video,Jio Cinema,Apple TV",1h 34min,"Drama, Mystery & Thriller, Action & Adventure, Crime, Made in Europe",United States,https://www.justwatch.com/in/movie/kung-fu-panda-4
365 Days,2020,4.8,Age rating not found,"Apple TV+,Netflix",1h 54min,"Comedy, Drama, Romance",Poland,https://www.justwatch.com/in/movie/365-days
Bad Boys: Ride or Die,2024,4.8,Age rating not found,"Amazon Video,Apple TV,Apple TV+,Zee5",1h 55min,"Drama, Crime, Mystery & Thriller",United States,https://www.justwatch.com/in/movie/bad-boys-4
Dune: Part Two,2024,7.2,Age rating not found,"Amazon Video,Apple TV,Apple TV+",2h 47min,Drama,United States,https://www.justwatch.com/in/movie/dune-part-two
Deadpool,2016,7.2,A,"Hotstar,Apple TV,Amazon Video,Apple TV+",1h 48min,"Crime, Mystery & Thriller, Drama",United States,https://www.justwatch.com/in/movie/deadpool
Je Jatt Vigarh Gya,2024,8.7,Age rating not found,Apple TV+,2h 12min,"Science-Fiction, Mystery & Thriller, Action & Adventure, Drama, Fantasy, Horror",India,https://www.justwatch.com/in/movie/je-jatt-vigad-gya
